RUDY KINGFISHER,1.0
RUFOUS KINGFISHER,1.0
RUFUOS MOTMOT,1.0
SAMATRAN THRUSH,1.0
SAND MARTIN,1.0
SANDHILL CRANE,0.6
SATYR TRAGOPAN,1.0
SCARLET CROWNED FRUIT DOVE,1.0
SCARLET IBIS,0.8
SCARLET MACAW,1.0
SCARLET TANAGER,1.0
SHOEBILL,1.0
SHORT BILLED DOWITCHER,0.6
SMITHS LONGSPUR,1.0
SNOWY EGRET,1.0
SNOWY OWL,1.0
SORA,1.0
SPANGLED COTINGA,1.0
SPLENDID WREN,1.0
SPOON BILED SANDPIPER,0.6
SPOONBILL,1.0
SPOTTED CATBIRD,1.0
SRI LANKA BLUE MAGPIE,1.0
STEAMER DUCK,1.0
STORK BILLED KINGFISHER,1.0
STRAWBERRY FINCH,0.8
STRIPED OWL,1.0
STRIPPED MANAKIN,1.0
STRIPPED SWALLOW,1.0
SUPERB STARLING,1.0
SWINHOES PHEASANT,1.0
TAILORBIRD,1.0
TAIWAN MAGPIE,1.0
TAKAHE,1.0
TASMANIAN HEN,1.0
TEAL DUCK,0.8
TIT MOUSE,0.8
TOUCHAN,0.8
TOWNSENDS WARBLER,1.0
TREE SWALLOW,1.0
TROPICAL KINGBIRD,1.0
TRUMPTER SWAN,1.0
TURKEY VULTURE,0.8
TURQUOISE MOTMOT,1.0
UMBRELLA BIRD,1.0
VARIED THRUSH,1.0
VENEZUELIAN TROUPIAL,0.8
VERMILION FLYCATHER,0.8
VICTORIA CROWNED PIGEON,1.0
VIOLET GREEN SWALLOW,1.0
VIOLET TURACO,1.0
VULTURINE GUINEAFOWL,1.0
WALL CREAPER,0.6
WATTLED CURASSOW,1.0
WATTLED LAPWING,1.0
WHIMBREL,1.0
WHITE BROWED CRAKE,0.8
WHITE CHEEKED TURACO,1.0
WHITE NECKED RAVEN,1.0
WHITE TAILED TROPIC,1.0
WHITE THROATED BEE EATER,0.8
WILD TURKEY,1.0
WILSONS BIRD OF PARADISE,1.0
WOOD DUCK,1.0
YELLOW BELLIED FLOWERPECKER,0.8
YELLOW CACIQUE,1.0
YELLOW HEADED BLACKBIRD,1.0
