RUDY KINGFISHER,0.8
RUFOUS KINGFISHER,1.0
RUFUOS MOTMOT,1.0
SAMATRAN THRUSH,1.0
SAND MARTIN,0.6
SANDHILL CRANE,0.4
SATYR TRAGOPAN,1.0
SCARLET CROWNED FRUIT DOVE,0.8
SCARLET IBIS,1.0
SCARLET MACAW,1.0
SCARLET TANAGER,0.8
SHOEBILL,0.6
SHORT BILLED DOWITCHER,1.0
SMITHS LONGSPUR,0.8
SNOWY EGRET,1.0
SNOWY OWL,0.8
SORA,0.8
SPANGLED COTINGA,1.0
SPLENDID WREN,1.0
SPOON BILED SANDPIPER,0.4
SPOONBILL,0.8
SPOTTED CATBIRD,1.0
SRI LANKA BLUE MAGPIE,1.0
STEAMER DUCK,0.6
STORK BILLED KINGFISHER,1.0
STRAWBERRY FINCH,0.2
STRIPED OWL,1.0
STRIPPED MANAKIN,1.0
STRIPPED SWALLOW,1.0
SUPERB STARLING,1.0
SWINHOES PHEASANT,1.0
TAILORBIRD,0.8
TAIWAN MAGPIE,1.0
TAKAHE,0.8
TASMANIAN HEN,0.6
TEAL DUCK,0.8
TIT MOUSE,0.8
TOUCHAN,1.0
TOWNSENDS WARBLER,1.0
TREE SWALLOW,1.0
TROPICAL KINGBIRD,0.8
TRUMPTER SWAN,1.0
TURKEY VULTURE,0.8
TURQUOISE MOTMOT,1.0
UMBRELLA BIRD,1.0
VARIED THRUSH,1.0
VENEZUELIAN TROUPIAL,1.0
VERMILION FLYCATHER,0.8
VICTORIA CROWNED PIGEON,0.8
VIOLET GREEN SWALLOW,1.0
VIOLET TURACO,1.0
VULTURINE GUINEAFOWL,1.0
WALL CREAPER,1.0
WATTLED CURASSOW,0.8
WATTLED LAPWING,1.0
WHIMBREL,0.6
WHITE BROWED CRAKE,0.8
WHITE CHEEKED TURACO,0.8
WHITE NECKED RAVEN,0.8
WHITE TAILED TROPIC,0.6
WHITE THROATED BEE EATER,1.0
WILD TURKEY,1.0
WILSONS BIRD OF PARADISE,1.0
WOOD DUCK,1.0
YELLOW BELLIED FLOWERPECKER,1.0
YELLOW CACIQUE,1.0
YELLOW HEADED BLACKBIRD,1.0
